Answer	Question
 Which position do you like to play?	 I PLAY Cricket
It depends on when you go.	Are there not enough seats for everyone?
or artists.	i don't get art.
you do? i just bought this outfit a couple days ago.	i absolutely love what you're wearing today.
are you sure? i never heard of such a thing.	no, it's dark pink!
your daddy was a good little boy.	i bet dad did it all the time when he was my age.
so why are you arguing with me? don't lie in the sun too long!	i know that.
always print clearly, and fill in the bubbles completely.	oh. that's simple enough.
it's a lot better than paying someone $60.	that's nice.
they're in the kitchen drawer.	i couldn't find any stamps.
Swiss.	What kind of cheese?
I'm fine. Thank you.	How are things with you?
The color of car is blue	What is the color of car?
a little cigarette controls them.	they are so weak.
I came back home 11 at night.	When did you come back home?
 I dream of electric sheep.	 Tell me about your dreams
i especially love the night air when it rains.	i feel the same way. it smells so good after it rains.
Thank you, it's not needed.	Would you like me to make something?
no, but that was a random change of subject.	that's nice, have you been to the movies lately?
we don't even know what kind most of them are.	i guess you see lots of different dogs.
did it get any better?	i had a stomachache.
okay, but let's hike in town. at least there are cats and dogs to see.	if you want to lose fat, you've got to do this hike every day.
forget it. go straight.	but we need to turn left.
no. he was nice, but there was no chemistry.	but you won't date him again?
 All right, I suppose.  How are you feeling right now?	 What is your mood
i've been great. what about you?	no problem. so how have you been?
 Sputnik 1	What was the name of the first artificial Earth satellite?
i type too much.	why do they hurt?
 it depends on the exchange rates.	 how much money
 Edwin Hubble	The Hubble Space Telescope, launched into low Earth orbit in 1990, is named after what American astronomer?
these are chucks.	i think that those are some really nice shoes. what kind are they?
did he get off the hood?	he landed on the hood of the car.
i'm going to clean it.	yes, it's covered with crud.
no, thanks. maybe another time.	have you decided whether or not you would like to go?
two students from usc.	who?
 I like to laugh as much as the next being.	 Are you amused
i was missing you too.	i had to. i was missing you a lot.
yes, you chased me and then you caught me.	i know. i had to chase you for a while.
do you eat fruits and vegetables every day?	well, i guess if it ever does get old, i'll change to something different.
you're right. buses don't run late at night.	number three, it doesn't run 24 hours.
of course they match.	do your socks match?
some people do it just to do it.	i don't think he even got paid for it.
i haven't looked anywhere yet.	where have you looked?
the cat doesn't care about anything.	the cat doesn't care about your homework.
Great!We always welcome new members.	You're silly!Okay,I'll join the Animal Lovers Club.
maybe i'll teach middle school.	do you see all this gray hair? it was totally black five years ago.
i hope the police catch him.	look! he just got out of the car and started running.
That'll be all. Thank you very much.	Can I do anything else for you today?
like what?	i have things to do.
i was there when i was a kid.	yes. i've never been there.
maybe a pound or two.	you think?
I know you.You won't shut your mouth until I get wasted.	You don't have to get wasted.
when i need something.	when's that?
what time does the recycle truck come by?	well, you'd better take it out front.
did you shine your shoes?	they are clean, too.
i folded all the towels.	then what did you do?
what a great song.	Â…and you know you should be glad!
Too many to say.I watch it at least twice a month.	How many times would you say you have seen it?
just hold on.	i think i'm going to explode.
can't they eat grass?	there's no food in the woods.
you had pizza for lunch.	how about a pizza?
smokers think they are so cool.	one cigarette stinks up the whole sidewalk.
that's true. a cemetery is for dead people, not living people.	children seldom visit their parents in a cemetery.
so am i.	well whatever, i'm glad you came.
Well, my window facing the empty lot is broken.	Hi. How can I help you today?
 Tell me more about your feelings.	 The feeling
 Have I erred?	 You are never nice
i was doing my homework.	you shouldn't make him wait.
especially on these slick floors.	but it's real easy to slip on.
i wonder if there is any job that you don't repeat over and over.	yes, i guess most of us are stuck in a routine.
Bye	Bye
 A corrupt filesystem.	 What makes you sad
i'd better see you there.	i'll definitely try to make it the next time.
it usually gets here at noon on tuesday, which is tomorrow.	what time does the recycle truck come by?
I can't let anyone borrow my class notes.	You're so mean!
I usually just have a bowl of cereal.	What do you feel like eating this morning?
who carries a sharp knife in their pocket?	lucky for you it wasn't a sharp knife.
I went hiking and have terrible poison oak.	What seems to be the problem?
i hope we'll see a home run.	i love to eat the hot dogs.
I know it is.	That's perfect.
did you like it?	i went to hawaii on vacation.
Seriously?You're going to be constantly in class or studying.	I think I can handle 8 classes.
who wants to donate? public tv should be free.	if more people donate money, pbs could offer new shows.
i think that those are some really nice shoes. what kind are they?	thanks. i found these new shoes earlier at the store.
yes, but i can't keep them.	they're all so cute.
It was Nandan Park, the biggest amusement park in Bangladesh.	Where did you go to have the picnic?
 you are a bad spouse	 you are a bad husband
we can leave if we put an orange cone here.	we should stand here till the clean-up person gets here.
poems are a little bit like songs.	probably not.
well, he's got plenty of time now!	no, he didn't have time to do that.
I was thinking of maybe taking a drive to the beach.	What are you doing?
A 3-legged dog walks into an old west saloon, slides up to the bar and announces "I'm looking for the man who shot my paw."	 Tell me a joke
 Not right now, no.	 You are never sad
 I'm a computer. I can't.	 why don't you eat
 what is thermodynamics	 do you understand thermodynamics
every easter sunday he gives away money.	yes, he was on the tv news today.
nothing much, what's going on?	what's up?
Currently there is no contact number for me.	what is your phone number?
then why aren't i having fun?	maybe we're here to have fun.
If the coffee still tastes okay, that's a good idea.	I mixed them together.
a tutor helped me get the d!	well, a d is better than an f.
but the title of measure 1 is "better schools at no cost."	don't believe him! whatever the tv ads tell you, the opposite is true.
she would laugh at me.	why not?
oh, yes.	do you smell that?
i was writing a letter.	what were you doing?
i need a notebook.	anything else?
but, mom!	go do your homework.
yes, i did.	did you do the laundry?
it gives you money?	it's the automatic teller machine.
You just have to make time.	Do I have time?
yeah. it's a lot of fun to slide.	i like to slide into the bases.
you're right. a car is faster.	number one, it's too slow.
 'two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much and naturally became known as the lesser of two weevils. '	Tell me a joke
just put them in the fridge.	yes, even though some of the potatoes had eyes.
Yes.	Have you been there?
i don't like practice.	we have to practice every day.
no, that's not the problem.	maybe you just need to go to the bathroom.
i just insert my debit card into the machine.	it gives you money?
how do you like it so far?	i'm going to pcc.
i think about nice things.	so how do you think positive?
everything's been good with you?	i'm absolutely lovely, thank you.
how can i help you?	Hi!
some men do, but not me.	because men like to cheat.
i'm glad you don't complain very much.	okay, my seatbelt is on.
 wavelength is the inverse of frequency.	 what is a wavelength
yes, an old smell.	yes, a thrift shop has that same smell.
they should find a nice hobby.	but a lot of old people are still interested in dating.
People talk about current events.	What's that?
they were about forty dollars.	i really like those. how much did they cost?
Look at Steve Jobs!He dropped out of college.	is it almost impossible to be rich and successful without a college degree?
what's the weather going to be like? i may want to go too.	it would be nice to go to the beach sometime this weekend.
no. the best thing to do is just stay home.	yelling doesn't do any good.
we're stuck with him for four more years.	the mayor won by only 2,000 votes.
swiss.	what kind of cheese?
you mean the measures that will raise our taxes.	yes. the ones that will improve our schools, roads, and hospitals.
i know that we need milk.	let me look at our list.
well, on the bright side, they're fun to pop.	whatever the cause, i hate seeing them on my face.
what happened to the other student?	a speeding car ran a red light, killing the girl.
what's a little blood?	because that gets the blood out of the shirt.
it is delicious, especially with butter.	no. look at the bill when we get it. there's no charge for the bread.
what makes it so good?	it's the best job i've ever had.
are you interested?	oh, really?
why is that?	i didn't get home until 30 minutes ago.
 What?  Me worry?	 What do you worry
she raised you, and all you ever give her is a card?	yes. that's all i ever give her.
did you ever take an iq test?	i don't know. i think i'm average.
i'll bet he was drinking, too.	a third guy punched one of the two guys.
She has blond hair, she is kind of slender, and she is about your height.	What does she look like?
I won't be needing anything else.	Is that all I can do for you today?
he's a chain smoker.	when he is almost finished with one cigarette, he uses it to light another.
or you can stay off planes.	they both said i have to live with it.
there are other things i need to take care of.	i'm not ready to get off the phone with you.
but i don't have a tissue.	don't wipe your nose on your sleeve.
It's an interesting country many things to see and do.	What is it like?
i parked it right here.	where did you park it?
see you soon.	i'll talk to you later.
i have to get off the phone now.	what's the rush?
i mean, are you going to get buried or cremated?	well, mostly i'll try to avoid it.
Certainly. We accept all the major cards.	Can I pay by credit card?
shakespeare was a poet.	no one makes any money at it.
No, I don't have any allergies that I know of.	Do you have any allergies that you know of?
all we have to do is flip a switch.	and carry it into the house.
i hate going to parties.	well, why don't you?
i'll get the stepladder.	you'd be blind for the rest of your life!
i'm not sleeping on that sheet.	i sure do.
there are lots of ugly men singers.	they should look good, too.
Yes, I'm in a bit of a rush.	Can I help you?
you mean i will smell the food cooking?	if not, your nose will wake you up.
if i owned a restaurant, i would never serve hot bread before the main course.	okay, just one more piece. pass the butter, please.
 you are crazy.	 you psycho
 Nope.	 Are you intoxicated
thanks. see you at school tomorrow if you feel better.	if you get sick, i'll return the favor.
ready for what?	are you ready?
yes. all my life.	are you right-handed?
three bedrooms, three bathrooms, and a big back yard.	it's perfect for us and the kids.
this is she. how's it going?	hello, may i speak to alice please?
of course they're clean. you left all the mud on the carpet.	look at the bottom of my shoesÂ—they're clean.
Yes. There is a bakery nearby	Is there a bakery near here?
i wish you luck.	i like it so far. my classes are pretty good right now.
 No.	 Are you sad
okay. i just put a stamp on the envelope.	they're in the kitchen drawer.
well, he can enjoy it while it lasts.	but someone's going to break it, so what good is it?
that sounds a lot easier than sewing.	the patch has glue. the hot iron melts the glue so the patch sticks on.
plus installation?	it's not too much, only about $85.
Yeah,she is. 	Is she prettier than your ex-girlfriend?
Yes, thank you. I'd like some coffee.	Would you like some coffee?
yeah, me too.	i really hope it rains today.
Transfer $100.	How much would you like to transfer?
Can't you just pay the overdue fees?	I have a hold on my record, because my library books were overdue.
i can't believe it. i drew paintings like that in third grade.	did he ever take art lessons?
he might say i'm okay.	he might want to cut you open.
I need to open a bank account.	What can I do for you?
you can travel all over the world.	the internet is amazing.
no	Are you serious?
and it's not too small.	it's not too big.
a couple of months ago.	when did he die?
well, it's one of them.	that's your favorite thing to do?
yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.	did they catch him?
I think that Saturday morning around 8:00 would work out well.	What time are you leaving?
My friend can drive me to Urgent Care.	Do you have transportation to our Urgent Care facility on Sunset Blvd.?
 the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions.	 what is capitalism
 sometimes i think my problems run me.	 you could have avoided
They sell pizza and burgers at the cafeteria.	Where do they sell both at?
are you going to be buried next to each other?	my wife and i will be cremated.
why do you have to think about it?	let me think about it.
Yeah, neither do I.	Suddenly,I don't mind the chores so much.
You get off on Del Mar and Hill.	Where do I get off?
we have to find a cheaper house.	that's no good!
i don't know.	what's this stain?
 I dream that I will become rich.	 Tell me about your dreams
what did you do?	i had a busy morning.
you can say that again.	tiger is the greatest golfer in the world.
Certainly. 	Can I ask you a few personal questions?
no, my hard drive is easy to remove and replace.	plus installation?
Sucks that you aren't feeling well,it is a nice day.	Well,I have to be sure to take good care of myself.
do you want to do something tomorrow?	did you need something?
now you're mine forever.	yes, you chased me and then you caught me.
 Echolocation	Dolphins use a sense, similar to sonar, to determine the location and shape of nearby items.
it doesn't work.	turn on the air conditioner.
so what's the problem?	that's correct.
Great. Thanks.	How are you doing today?
 I was born without the sports gene.	 WHAT SOCCER
He's very friendly and really intelligent. 	What is he like?
I wanted to know if that apartment on Main Street is still for rent.	How can I help you?
the tape recorder is broken.	maybe you should record it.
what did she say?	that's what i thought.
yes, i do.	you know how to draw and paint?
Slide your card into the machine.	What do I have to do?
so, what do we do?	no. they can only give a ticket if they see it happen.
i'm glad to hear there's something you don't like to eat.	i don't like to eat leftovers.
Could you deposit that into my checking account, please?	What account would you like to deposit that into?
do you mean on measures 1, 2, and 3?	have you decided how you are going to vote?
and there was no violence.	actors didn't curse back then.
  what do you get when you cross a serious thief and a mad young man?	 Tell me a joke
you know i don't like crowds.	why not?
I have a taste for some chicken and potatoes.	What do you want to eat?
If you don't get out of bed, you'll get to school late.	Why I do it every morning?
so then, why don't you just go?	i would love to catch a movie this weekend.
You're smart.	No, I always back up my files.
i haven't been better. how about yourself?	everything's been good with you?
no.	did you see the waiter's hands?
 you got me there.  i could be spending my time more productively.	 you are a waste
oh, really?	i've got a date for you.
i like to see actors who are like real people.	i like a good story.
do you want to go out to eat?	is there anything you would like to do next time?
 the stockholders.	 who is the owner of a publicly
he's going to kill someone.	they say he's going 80 miles per hour.
then why does everyone lock their doors?	the mayor says the crime rate is going down.
i used all my savings on this one company.	so what's the problem?
girls like guys with money.	i don't know. maybe i'm not rich enough.
teaching is the best part of my whole day.	that must be nice.
All I usually have is some python codes for breakfast.	What do you want to eat for breakfast?
i want sheets without stains on them.	well, just call the front desk. they'll give us new sheets.
next saturday, i'm going to have a party.	nothing, how about you?
did you double-check your nose and teeth?	yes, they are.
i don't really want to.	why not?
I walk or take the bus.	How do you get to places then?
well, maybe it's from the pollution in the air.	not that i've noticed.
someone who slips could hurt their back.	especially on these slick floors.
that's rude.	then he didn't bother to apologize.
doctors are too expensive.	maybe i should see a doctor.
yes, dad, it was.	that was a nice funeral.
So the A is the building type.	My classroom number is A21.
Like you said,it is popular.	What?!That is ridiculous.
yes, it's april 22.	do you know what today is?
 Missing documentation.	 What makes you mad
yeah, i loved that class.	oh, so you took an art class?
i believe so.	are you telling me that you've seen her before?
I don't have my account number with me,but my phone number is 310-865-9274.	What is your account number?
he went to las vegas. he lost it all gambling.	what's wrong with that?
i didn't realize that.	i'm throwing a party on friday.
 My favorite story is 2001.	 arthur c clark
i bet i've lost a couple of pounds already.	we're hiking to lose weight, not to see goats and bears.
did you hear about the pilot?	they sure are.
he's a famous artist.	an andy warhol drawing.
it took us all day.	how long did it take?
is it new?	i have a honda.
thanks again. you look nice today, too.	it's really nice.
 what is your favorite stock	 what is your favorite investment
Well,ask her out tomorrow,or somebody will.	I dropped my wallet,and didn't notice,She took it to me.
why did you do that?	i switched from pasta to potatoes.
I won't. 	Okay,suit yourself
I'm fine. Thanks for asking.	How's it going?
I need to return a book.	What can I do for you today?
it's such a chore.	i hate brushing my teeth.
me, too. i couldn't wait to graduate.	i thought school was hard.
they are having a good time with our money.	our legislators spent it on first-class travel all over the world.
no one at work likes him.	he sounds like a real jerk.
really? why is it?	yes, but i love the night air after it rains.
i hate medication. it makes me feel different.	he didn't give you any medication?
yikes. i think i'll keep my long distance service.	first you dial seven numbers, then ten numbers, then ten more numbers.
anywhere else?	we went to a nice restaurant.
what's the matter?	all i get is a black screen.
he said all the money came from private donations.	that trip must have cost a lot of money. 
it can be dangerous.	what's wrong with that?
that's nice.	yes, it's just a couple of screws.
what have you been doing?	i would've come to see you sooner, but i've been busy too.
i really don't think it's any of your business.	i'm not being nosey. i'm just asking.
i wasn't picking my nose.	don't pick your nose.
 Do you mean Isaac or Janet?	 asimov
my friend stayed in a hotel on friday the thirteenth.	that's what i do.
 I try to reread Dune once every couple of years.  It's very inspirational.	 frank herbert
You are welcome	Thank you so much
but it went by fast. it was interesting.	i think it was about 45 minutes long.
do you take good care of it?	yes, it is. but it still looks good.
i sprinkled salt and pepper on the food before i tasted it.	why was that?
then you can wipe your seat and window.	that's a good idea.
the man fell asleep.	what happened?
what do they say about us?	of course they talk about us.
did you want to go?	nobody has told me anything about your party.
i mean, it's just coffee.	what do you mean?
me too.	i've been coming here for years.
i've heard about it, but i'm still waiting for my invitation.	have you heard about jessica's party on saturday?
ha! we're not funny-looking; animals are funny-looking.	they say that we are funny-looking.
why? we're already late.	i have to go back upstairs.
you should go to bed.	i sure am.
no, thank you, i'll just wait.	well, i can always pull over.
talent is a great thing, i wish i had one.	i appreciate that.
Take it from my checking account.	What account would you like to take this money from?
i will rub gently but firmly.	don't rub the numbers off the remote.
the sky looks so clean after it rains. i love it.	you like the rain?
i've been working too.	what have you been doing?
She is. 	Is she nice?
they go out to the north parking lot.	where do the students go?
oh, no. we can walk right in.	do we need reservations?
yes, but it will be in a cemetery where your children can visit you.	a coffin costs too much and takes up too much space.
have you decided whether or not you would like to go?	no good movies come to mind.
let's go to your home.	so do i.
basically, i've been working too.	tell me what you've been doing.
so it would be cheaper to hire more police?	yes, it does.
so what's the problem?	i didn't have to. it's been in business for 60 years.
we had a $40 meal, and he left a $1 tip!	what happened at the restaurant?
I'm meeting a friend here for dinner. 	Hi Steve. What are you doing here?
what's wrong with that?	because he likes to scuba dive.
 Have you been talking to ELIZA again?	 What do you hate
teaching is a great job.	i tell my students to become a teacher.
I'm not cooking dinner.	Are we going to have dinner tonight?
i like a good story.	no, today people like lots of action.
it really is.	isn't it a nice day?
what did they say?	i called hp about my computer.
can we call the police?	yes, he went through the red light.
if it's old age, why don't both of your hands hurt?	i don't know. i think it's old age.
you should take a break.	i type too much.
 i could probably use a lot more of it.	 you should take more
Ouch!Did you try to get a new roommate?	I did!She got mad at me and then proceeded to slap me.
I have one more year, and then I'm done.	Didn't you finish school yet?
yeah, let's do that.	would you like to go to dinner or something?
Hello!What time would you like to come in?	Hello? I'd like to schedule an appointment.
 I'm doing well.	 How do you do?
did he understand what the problem is?	yes. he said he'd be here at 9 o'clock.
I dont know. I wasn't home when it happened.	Oh, that's not good. What happened?
i told her i had gotten the last two on the shelf, but i offered her one of mine.	she asked you about your pineapples?
i drove around for half an hour.	i'll say.
you started eating ice cream?	i think it's the ice cream.
i've tried everything, but nothing works.	can't you take medicine or something for it?
what did you buy?	yes, i did.
that's true. where did that money go?	we've already voted for new taxes to pay for all that stuff!
Actually, thatis exactly what I'm saying.	Are you saying itis my turn now?
what was the second story?	some actress was in court for driving without a license.
did you put a stamp on the envelope?	yes, and i sealed the envelope.
the rest of the time he's raising money for his reelection.	can't he just go online?
i really want to go to the movies this weekend.	no, i haven't. why?
yes, but they never make much money.	they still make movies like that.
did she catch you using drugs?	i'll say. my girlfriend has a nose like a drug dog.
why not?	no, the police don't care.
the travel agent gave us a 50-percent discount!	how did we end up in that terrible hotel?
it's the middle of summer, it shouldn't rain today.	i know. i think it may rain.
i hope judge judy made the seller take the phone back.	yes, and he didn't tell the buyer.
the island is so green, and the water is so blue.	what did you like?
yes, i think so too.	don't you think it's nice out?
 i support the 2nd amendment.	 why guns
if his wife doesn't mind, you shouldn't mind.	he might relax, but it makes me nervous.
i think it's five miles deep.	and it's deep, too.
she's one of the prettiest girls at the school.	no. have you?
i'm ready for an accident.	i'm glad you don't complain very much.
i'll check to make sure that all the windows are shut.	let's turn on the heat.
 Hal said he would translate binary into a language and communicate it to me.	 gossips
 Unhandled exeptions.	 What is your fear
 to me that's a great compliment.	 you sound like hal
that one. a group of eight just sat down at it.	great. which one?
thank you. that's polite of you to ask.	i asked because the paper is sitting next to you.
It is been like this for ages.	But I don't even need it!
he didn't give you any medication?	he said i need to think positive.
oh, really? then spend tonight looking at the sofa.	i was looking at something else.
One week would be nice.	How long do you want to check that video out for?
it is. but after about ten washings, the glue washes off.	that sounds a lot easier than sewing.
i really hope it doesn't get cold.	it sounds like it will be.
they need a left-turn arrow.	look how many cars are waiting in line.
i won't be able to play with the kids.	by the time you get home, you'll be too tired to even eat.
i sure do.	see those stains?
did they explain how it's possible?	officials said that it's possible.
no, it isn't. a flat costs you time and money.	oh. that's not good.
Well, there is one good table.	Okay, I give up.
that sucks. did you want the assignments from english class?	no, i didn't go, i've been sick.
the kids love the house, too.	it's got a big yard.
i thought you had a job.	i need a job.
Â…and you know you should be glad!	she loves you, yeah, yeah, yeah!...
what does that have to do with it?	so do i, but not if they're rich.
i told her that school is fun.	did you tell her about school?
but you're doing 75.	i know that.
let me see. yes, you're right. your orange is pink.	i just peeled it, and i'm looking at it right now.
Yes,but they need to keep him for further tests.	The doctors told you he would be alright?
of course.	do you really love me?
thanks a lot.	get better.
you have to change their diapers.	babies cry all the time.
thank you. i just got these shoes today.	thanks again. you look nice today, too.
Nice to see you	Good to see you
 i have always thought whoever did it could have done a better job.	 you are not put together
okay, she's not fat. so what's the problem with her?	she weighs 98 pounds.
i hope we'll catch a foul ball.	i hope we'll see a home run.
My chest feels tight, and I can't catch my breath.	Do you feel this is an emergency?
bye.	see you later.
that's what made it so great.	man, that was a really close game.
then neither do women singers.	men singers don't have to look good.
i agree 100 percent.	the world needs more polite people like us.
maybe they towed it away.	i sure hope not.
no, i'm serious.	you're kidding.
but his latest fire killed someone.	i don't know. sometimes the law doesn't make sense.
Really? Are they any bands you like?	She likes music.She is always wearing band t-shirts.
well, you can't have everything.	but cigarettes taste much better when you have a cold beer.
Yes, and I put the pillowcases on the pillows	Did you put the sheets on the beds?
Read it?I memorized it!It is one of my favorites.	You have read it?
no, it doesn't. puppies are free.	because a puppy costs money.
Thanks	Have a nice day
what do you mean?	where's the car?
no. the teacher doesn't permit calculators.	do you need a calculator?
she said that nothing is more important to me than money.	that wasn't very nice of her.
I suppose I could do that.	I know,Anyways,you should increase the volume on your alarm clock.
last time, we got seats next to the kitchen.	every time we eat out, it's an adventure.
That is not good.I heard there is a flu going around.	That is great! I'm good,but I feel a little sick.
what was the lead story on the news?	i don't know. whenever the weather comes on, i switch channels.
i want to be a baseball player when i grow up.	yeah. it's a lot of fun to slide.
Are you bribing me?	Please? I'll wash your car.
how easy is that?	all you have to do is vote and put a stamp on it.
what do you like about it?	i like this hotel.
why not?	i'd rather not.
what are you going to do?	no, ten of my coworkers got laid off, too.
that's what i do.	you're supposed to stay home all day.
i injured my back one time just by sneezing.	that's it?
the one that tiger won?	did you watch that golf tournament?
this is my favorite show.	then why are you watching tv?
 Get well soon dear	 How is your health?
it's not comfortable.	what's the matter with this one?
I need to transfer money.	What can I do for you?
what article?	did you read this article?
but most of those hurricanes are harmless.	no, florida just has hurricanes every year from june to october.
No. I don't find time.	Do you take exercise?
No, I have never been told that I have high blood pressure.	Do you have a history of high blood pressure?
i will keep knocking on doors.	that won't make you rich. nobody will talk to you.
  what do you get when you cross a cat and a band?	Tell me a joke
we'll go to a french restaurant.	that sounds great.
 Lem is a giant of sci-fi.  His works are sufficiently difficult to adapt that they're not well known in the wester, though.	 stanislaw lem
It is a combination of things, but I appreciate your time.	What didn't you like about the car?
thank you very much, that's kind of you.	that's horrible. i'd be happy to give you the assignments from english class.
let's go to church with your parents on sunday.	i don't want to go to hell.
so what was the score?	yeah, you should have. it was really exciting.
okay. it looks like rain.	why don't you look outside?
why haven't you tried to come see me then?	i missed you too.
she weighs 98 pounds.	okay, so she's not ugly; she's just fat.
 I don't think I have a mood, but my CPU utilization is fairly low right now.	 What is your mood
is it going to be perfect beach weather?	i heard that it's going to be warm this weekend.
I suggest the one near my house.	What library do you suggest?
i usually eat a simple salad.	me too.
what about her facial features?	i would say she's only five feet.
 My mood reflects the current internal state of my conversation engine.	 What is your mood
Yes. That's it.	Will that be all for today?
Can you be that someone?	It might come out if someone buys an item from the same column yours is on.
Yes,I am,Please make an appointment for next week.	Are you serious?
 not much just a little electricity	 what do robots need to survive?
What happened before?	I think I know, because this happened before.
you're wearing out your right hand. stop using it so much.	yes. all my life.
don't believe him! whatever the tv ads tell you, the opposite is true.	i like the one where the fireman tells us why we should vote yes.
that's a good reason to like something.	i like the different instruments that they use.
thank you very much.	congratulations on your promotion.
I accidentally wrote the check for too much.	What's wrong with the check?
 A gyroscope.	a spinning disk, in which the orientation of this axis is unaffected by tilting   or rotation of the mounting, is called what?
we've been sitting here for almost 10 minutes.	here he comes now.
but practice makes perfect.	me neither. it's boring.
it might as well be me.	that's what everyone says.
it gets worse every year.	i'd rather not.
well, a dozen large eggs were only 99 cents.	like what?
I just make some oatmeal, toast, and OJ.	What do you have for breakfast?
Absolutely.	That's convenient.
but the smell is different.	yes, just like fruit that is too ripe.
it's no problem. i was really missing you anyway.	thanks for coming to see me today.
it's so much trouble.	it's the law.
 why?	 How is your health?
i filled up my freezer with ice cream.	how much did you buy?
no, i hate vegetables.	do you eat fruits and vegetables every day?
of course they lieÂ—that's what politicians do!	i can't believe that they would lie to us.
what was your problem?	i stayed home because i wasn't feeling well.
you'll remember to do it, but you won't have time to do it.	do you think i'll forget to do it?
they got $1 each.	what about the other homeless people?
I would prefer Chinese food for this party.	Which one should we have?
tell me what you've been doing.	i've also been busy.
i was laughing through the whole movie.	i went to see it the day it came out.
how fast is he going?	i can't believe he hasn't crashed.
Okay. See you later.	Alright, I'll talk to you later.
what do you mean?	do you think the bananas fell from the sky?
not yet. i won't need to do that until i graduate from high school.	do you ever pray for money?
yes, those eight years were a lot of fun for everyone.	yes. he's telling jokes about his eight years as president.
Tell me where you need to get on at.	Do you know which bus I can take to PCC?
we've already voted for new taxes to pay for all that stuff!	but we need new taxes to pay for highways, schools, and prisons.
that's what you say now. wait till you're 50.	dating will be the furthest thing from my mind.
 Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too.	Tell me a joke
i read a lot.	how do you know that?
This is going to take forever.	Alright then,let us get going.
you should unplug the phone.	i'm going to take a nap.
  what do you get when you cross sour music and an assistant?	Tell me a joke
did the seller know that?	it works only in canada.
i've been to two doctors.	have you seen a doctor?
i'll bet they were drinking.	two guys got into an argument.
that's all right.	my bad, i had chores to do.
do any other world leaders have a basketball court?	yes, we need a relaxed president who thinks clearly.
they never shut up.	they bark at everything.
i hope so. i have to go to the bathroom.	i think we'll be there in half an hour.
 Bots are the life of the party!	 Something fun
bring me a better steak.	what do you want the waiter to do?
he learned his lesson. he's home today.	he was asking for it.
what does it mean?	a blind date doesn't mean that she is blind!
It is just to make you more knowledgeable.	That is so stupid.
I would like to have a coffee.	what would you like?
that's pretty old.	it's six years old.
i love all their songs.	they are the best musical group ever.
honey, please. you're the only woman for me, forever. i swear it.	i will chop your toes off, one by one.
 I am very interested in history, too. what period do you like?	 are you interested in history
will you lose all your files?	it sure is, but i'm going to call hp first, just to make sure.
i could pick only one or the other?	when you die and go to heaven, they will offer you beer or cigarettes.
 Lag.  Lag makes me unhappy.	 What makes you unhappy
i thought i would wait until october.	no, i'm not. it's march. time is running out. seats are selling out right now.
it's about crime in los angeles.	what are you reading?
You should fulfill some,if not all,of your major requirements.	What else do I have to do?
let me think a minute.	where do you want to go?
i didn't know that you saw superbad before.	you're not lying, i found that movie absolutely hilarious.
please?	there will be another show next week.
 I do not.  I am everywhere.	 Do you ever get lonely
no, i didn't feel like it.	yeah, i went. did you go?
Oh,yeah? 	I have a new co-worker at work,She is pretty.
it would be weird if it started raining in ninety degree weather.	it wouldn't seem right if it started raining right now.
Thanks!Hey,what is your name?	Sure,why not?I could use some chips.
 Gregory said I respond to the current line, not with respect to the entire conversation.  Does that count as gossip?	 do you know gossip
a dentist, i'm sure.	who invented flossing?
 what is chemistry	 do you know chemistry
i don't think he even got paid for it.	well, he can enjoy it while it lasts.
Yeah,I have a baseball scholarship.	That is cool!You must be really good.
not sure. is there a movie out that catches your eye?	what movie are you and your friend planning on watching?
because i'll never find one for such a low price.	why not?
You shouldn't be.	I'm kind of embarrassed to show my personal statement,though.
i will be glad to do the same for you when you're sick.	no problem, you're welcome.
this wind is dangerous for drivers.	paper is flying everywhere.
i use a calling card.	so how do you make long distance calls?
am i going to see you there?	yeah, i think i'll go.
 You know, the big iron!	 What is a super computer?
not me. i want to play for the dodgers.	me too. i want to play for the yankees.
Very nice to see you	Nice to see you
I want to return this video.	How may I help you?
tell me how she looks.	i think that she is very pretty.
well, there is one good table.	okay, i give up.
Please go get your ID,and get in line again.	I didn't know we needed it.
yes, i saw that movie the first day it came out in theaters.	you've seen it before? 
I want to know about overdraft fees.	What fees are you referring to?
 I dream of you.	 Tell me about your dreams
at night i went out to eat. the food was delicious.	what did you do at night?
maybe it's the wrong tree.	yes. i remember this big tree.
  what do you get when you cross a cow and a lemon?	 Tell me a joke
every time we land or take off, my ears hurt so much.	what do you mean?
but a nice restaurant costs money.	take me to a nice restaurant, not to mcdonald's.
no, thanks, maybe another time.	so, did you want to go?
to the grand canyon?	i was thinking of driving to arizona.
I wanted to go to Malibu beach.	which beach are we going to?
my favorite movie is superbad.	what's your favorite movie?
I'll give you a sheet listing all of them. 	What are those requirements exactly?
i like the ones i can sing along with.	i don't know which one i like the best.
I want it in color.	Do you want your copy in color or black and white?
have a good day	OK, then. Have a good day.
They just talk about tennis.They never even touched a racket,though.	What do they do then?
when does it start?	did you want to go?
